snapshot_date,employee_number,status,first_name,last_name,gender,email,phone_number,salary,termination_date
2020-01-07,1,Active,Frederick,Barnes,Male,f.barnes@newmail.com,094-8926-78,38582,NULL
2020-01-07,2,Active,Alford,Grant,Male,a.grant@newmail.com,389-8947-85,53126,NULL
2020-01-07,3,Active,Sydney,Farrell,Female,s.farrell@newmail.com,187-8343-84,151217,NULL
2020-01-07,4,Active,Rosie,Richards,Female,r.richards@newmail.com,357-9337-53,162461,NULL
2020-01-07,5,Active,Jared,Wright,Male,j.wright@newmail.com,256-0454-59,98258,NULL
2020-01-07,6,Active,Alberta,Brooks,Female,a.brooks@newmail.com,896-2884-61,97078,NULL
2020-01-07,7,Active,Cherry,Harrison,Female,c.harrison@newmail.com,069-7921-78,156759,NULL
2020-01-07,8,Active,Edith,Fowler,Female,e.fowler@newmail.com,507-8262-99,132468,NULL
2020-01-07,9,Active,Alfred,Mason,Male,a.mason@newmail.com,718-7756-65,48496,NULL
2020-01-07,10,Active,Jessica,Hamilton,Female,j.hamilton@newmail.com,670-5046-24,175777,NULL
2020-01-07,11,Active,Lilianna,Crawford,Female,l.crawford@newmail.com,339-0865-57,148448,NULL
2020-01-07,12,Active,Jack,Brooks,Male,j.brooks@newmail.com,020-1068-47,77024,NULL
2020-01-07,13,Active,Wilson,Morrison,Male,w.morrison@newmail.com,152-0725-67,38296,NULL
2020-01-07,14,Active,Cadie,Evans,Female,c.evans@newmail.com,360-2903-44,103136,NULL
2020-01-07,15,Active,Adelaide,Owens,Female,a.owens@newmail.com,082-2307-17,130388,NULL
2020-01-07,16,Active,Dale,Morgan,Male,d.morgan@newmail.com,056-1660-19,161900,NULL
2020-01-07,17,Active,Tiana,Cameron,Female,t.cameron@newmail.com,941-8465-88,134040,NULL
2020-01-07,18,Active,Eddy,Ferguson,Male,e.ferguson@newmail.com,351-1295-46,147343,NULL
2020-01-07,19,Active,Sawyer,Owens,Male,s.owens@newmail.com,216-0400-38,70190,NULL
2020-01-07,20,Active,Lucas,Jones,Male,l.jones@newmail.com,146-8629-51,80877,NULL
2020-01-07,21,Active,Oscar,Smith,Male,o.smith@newmail.com,935-1911-34,80407,NULL
2020-01-07,22,Active,Tony,Hamilton,Male,t.hamilton@newmail.com,481-7914-72,125895,NULL
2020-01-07,23,Active,Dale,Smith,Male,d.smith@newmail.com,022-9025-15,43457,NULL
2020-01-07,24,Active,Julia,Cunningham,Female,j.cunningham@newmail.com,068-3478-85,31744,NULL
2020-01-07,26,Active,Marcus,Casey,Male,m.casey@newmail.com,869-0917-23,44508,NULL
2020-01-07,27,Active,Adrianna,Montgomery,Female,a.montgomery@newmail.com,131-6228-32,77391,NULL
2020-01-07,28,Active,Elise,Farrell,Female,e.farrell@newmail.com,485-8347-57,101616,NULL
2020-01-07,29,Active,Gianna,Wells,Female,g.wells@newmail.com,025-9261-71,116267,NULL
2020-01-07,30,Active,Alan,Richardson,Male,a.richardson@newmail.com,717-4445-07,155763,NULL
2020-01-07,31,Active,Dexter,Mitchell,Male,d.mitchell@newmail.com,347-2261-81,100671,NULL
2020-01-07,32,Active,Lucas,Stewart,Male,l.stewart@newmail.com,574-6739-42,160630,NULL
2020-01-07,33,Active,Amelia,Brown,Female,a.brown@newmail.com,413-0482-31,78101,NULL
2020-01-07,34,Active,Florrie,Perry,Female,f.perry@newmail.com,140-5497-36,76212,NULL
2020-01-07,35,Active,Evelyn,Howard,Female,e.howard@newmail.com,172-6900-55,141921,NULL
2020-01-07,36,Active,Tara,Kelly,Female,t.kelly@newmail.com,524-1286-07,123628,NULL
2020-01-07,37,Active,Clark,Jones,Male,c.jones@newmail.com,054-7974-05,161306,NULL
2020-01-07,38,Active,Blake,Perkins,Male,b.perkins@newmail.com,241-1297-51,130133,NULL
2020-01-07,39,Active,Frederick,Howard,Male,f.howard@newmail.com,355-3311-00,188087,NULL
2020-01-07,40,Active,Hailey,Cunningham,Female,h.cunningham@newmail.com,005-4307-69,101193,NULL
2020-01-07,41,Active,Arnold,Wright,Male,a.wright@newmail.com,478-0123-70,135221,NULL
2020-01-07,42,Active,Kelvin,Bailey,Male,k.bailey@newmail.com,562-0700-89,154900,NULL
2020-01-07,43,Active,Elise,Perkins,Female,e.perkins@newmail.com,760-4413-39,78430,NULL
2020-01-07,44,Active,Derek,Wells,Male,d.wells@newmail.com,570-4726-83,136224,NULL
2020-01-07,45,Active,Melissa,Craig,Female,m.craig@newmail.com,270-8938-39,117043,NULL
2020-01-07,46,Active,Maya,Foster,Female,m.foster@newmail.com,023-9093-10,94513,NULL
2020-01-07,47,Active,Kelsey,Adams,Female,k.adams@newmail.com,240-1057-30,71748,NULL
2020-01-07,48,Active,Abigail,Cole,Female,a.cole@newmail.com,536-0077-66,32619,NULL
2020-01-07,49,Active,Melissa,Morgan,Female,m.morgan@newmail.com,020-3660-63,128964,NULL
2020-01-07,50,Active,Nicole,Harrison,Female,n.harrison@newmail.com,436-5251-31,51556,NULL
