snapshot_date,employee_number,status,first_name,last_name,gender,email,phone_number,salary,termination_date,change_status,changed_status_date
2020-01-01,25,Active,Stella,Hunt,Female,s.hunt@newmail.com,194-7397-62,122746,NULL,New,2020-01-01
2020-01-02,25,Active,Stella,Hunt,Female,s.hunt@newmail.com,194-7397-62,122746,NULL,No Change,2020-01-01
2020-01-03,15,Active,Adelaide,Owens,Female,a.owens@newmail.com,082-2307-17,130388,NULL,Changed,2020-01-01
2020-01-03,25,Active,Stella,Hunt,Female,s.hunt@newmail.com,194-7397-62,122746,NULL,No Change,2020-01-01
2020-01-04,15,Active,Adelaide,Owens,Female,a.owens@newmail.com,082-2307-17,130388,NULL,No Change,2020-01-01
2020-01-05,15,Active,Adelaide,Owens,Female,a.owens@newmail.com,082-2307-17,130388,NULL,No Change,2020-01-01
2020-01-01,13,Active,Wilson,Morrison,Male,w.morrison@newmail.com,152-0725-67,41004,NULL,New,2020-01-01
2020-01-01,24,Active,Julia,Cunningham,Female,j.cunningham@newmail.com,068-9978-85,31744,NULL,New,2020-01-01
2020-01-06,15,Active,Adelaide,Nolan,Female,a.owens@newmail.com,082-2307-17,130388,NULL,Changed,2020-01-06
2020-01-02,15,Active,Adelaide,Owens,Female,a.owens@newmail.com,082-2307-17,139999,NULL,Changed,2020-01-02
2020-01-01,15,Active,Adelaide,Owens,Female,a.owens@newmail.com,082-2307-17,130388,NULL,New,2020-01-01
2020-01-01,31,Active,Dexter,Mitchell,Male,d.mitchell@newmail.com,347-2261-81,100671,NULL,New,2020-01-01
2020-01-01,34,Active,Florrie,Perry,Female,f.perry@newmail.com,140-5497-36,76212,NULL,New,2020-01-01
2020-01-01,28,Active,Elise,Farrell,Female,e.farrell@newmail.com,485-8347-57,101616,NULL,New,2020-01-01
2020-01-01,26,Active,Marcus,Casey,Male,m.casey@newmail.com,869-0917-23,44508,NULL,New,2020-01-01
2020-01-01,27,Active,Adrianna,Montgomery,Female,a.montgomery@newmail.com,131-6228-32,77391,NULL,New,2020-01-01
